text,label
The order is included in Metso 's fourth quarter 2007 order backlog .,neutral
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",neutral
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,positive
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",positive
"When the product is manufactured in Finland , it is also packed in the country .",neutral
"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",neutral
The Oulu plant employs approximately 120 people .,neutral
The value of the deal was not disclosed .,neutral
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive
The trade is in accordance with the agreement announced on 26 March 2008 .,neutral
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 .,positive
"However , Biohit estimates its total net sales will continue to grow in 2009 , and that favourable trends in net sales will lead to a profit in 2009 .",positive
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral
The online ice chart shows no ice in the area of Estonia 's sea ports on the coast of the Gulf of Finland .,neutral
Finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,neutral
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral
"EBITDA for the year 2009 improved to EUR484m , as compared with EUR472m in 2008 .",positive
The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages .,neutral
Currently the quarterly applied surcharges differ significantly from the actual market prices .,neutral
The value of the orders is over EUR 10mn .,neutral
In 2007 Etteplan reported a turnover of EUR125 .2 m.,neutral
