text,label
"Stocks to Watch: Facebook, Bed Bath and Beyond, Unilever, Fiat Chrysler, Netflix",neutral
Greenwashing Concerns Soar as Companies Vow to Clean Emissions,neutral
"Bitcoin: A Drop Below $8,000 Opens the Doors Toward $5,000",negative
This couple ditched making more than $200K working at hedge funds to go sail the high seas.,neutral
Averages end flat,neutral
Veidekke ASA Just Missed EPS By 9.3%: Here's What Analysts Think Will Happen Next,neutral
"Dreams For A Bond Selloff Are ""Shattering Like Cybertruck Windows""",neutral
Stock Market Update: January nonfarm payrolls exceed expectations,positive
"Amipure, the Ultimately Clean K-Beauty Skin Care Brand Launches in the U.S.",neutral
Arbor Realty Trust : Funds a $12.7M Freddie Mac SBL Portfolio in Northern New Jersey #ArborRealtyTrust #Stock…,neutral
Income inequality is affecting a younger generation of workers more than anyone else. So why are young people espec…,neutral
"Honda Motor EPS misses by ¥10.43, beats on revenue",neutral
"April gold falls 0.3% at $1,565.60/oz.",negative
"Here's What We Think About Orion Energy Systems, Inc.'s (NASDAQ:OESX) CEO Pay",neutral
AMRN,neutral
"Macro Review/Preview, free this weekend, out in a bit, enjoy our time with family this weekend everyone!",neutral
Walt Disney stock price target raised to $143 from $141 at Imperial Capital,positive
HSBC’s top duo put futures on line with radical overhaul,neutral
Elite Pharmaceuticals reports Q3 results,neutral
British Open canceled for first time since WWII due to coronavirus,neutral
Audi : customer team wins Formula E season opener #AUDI #Stock #MarketScreener,neutral
VIVUS up 8% premarket on positive Qsymia effect in binge-eating disorder,positive
Trump Is Still Studying Ways to Crack Down on Chinese Stocks,neutral
Warren Buffett Lunch Turns Into Dinner for Crypto Faithful,neutral
Domtar upgraded to market perform at BMO Capital,positive
How Switzerland Could Find Itself Labeled a Currency Manipulator,neutral
"-Can the Fed fight inequality? Kashkari says yes, hires an ally
-China to raise penalties on IP theft in a trade wa…",neutral
Markforged Achieves ISO 27001 Certification,neutral
Hedge Funds Aren’t Crazy About Ladder Capital Corp (LADR) Anymore,negative
$BILL - Could Be One Of 2019's Stronger IPOs. Get more updates here:…,neutral
"Yes Bank Shareholders Approve Raising Up To Rs 10,000 Crore Through QIP",neutral
$QTT - Qutoutiao slides after short-seller report,negative
"Healthcare Services Group, Inc. (HCSG): Hedge Funds Are Cashing Out",negative
"$BABA (+0.9% pre) India’s Paytm Secures $1 Billion Investment From SoftBank, Ant Financial - WSJ",positive
'A free pass to paedophiles': Australian lawmaker slams Westpac,neutral
Exxon Mobil jumps after maintaining dividend and on hopes for production cut deal (XOM) $XOM,positive
We Shouldn’t Strip U.S. Terrorists of Citizenship,neutral
Children's Place downgraded as e-commerce puts margins at risk,negative
$CETX anyone? It seems to be making a bottom. Company announced recently 500% Increase in New Orders for Developmen…,positive
Robert Shrimsley scours the archives to find a proud history of royal TV humiliation,neutral
NPN: NASPERS LIMITED - Statement regarding Just Eat PLC circular #Naspers #Stock #MarketScreener…,neutral
Stocks close mostly lower on earnings concerns,negative
"Macy's, Coty, American Express: Stocks That Defined the Week #economy #MarketScreener",neutral
Want to Do Better at Work? This 1 Thing Might Really Help.,neutral
KUDLOW SAYS TRUMP IS NOT READY TO SIGN ANY TRADE DEAL WITH CHINA,negative
"Highlight: “It’s very unclear as to who the target demographic is going to be,” @Melodyhahm says about the Tesla cy…",neutral
$BIG - Shorts fried as Big Lots jumps 26% post-results,positive
"$VIRT - Even After The Recent Surge, This High-Frequency Trader Still Shows Value. #business #economy #investing",positive
$EBAY could disclose an agreement to sell StubHub to Viagogo for about $4 billion,neutral
Emami Agrees To Sell Cement Unit To Nirma,neutral
Wipro赢得Marelli的多年战略性IT协议,neutral
RingCentral Announces Fourth Quarter 2019 Results,neutral
TA Page SetUps: Slack $WORK: Dip-buying post-earnings could be an early read into a possible supply/demand shift--,neutral
Qatar plans to boost LNG production to 126 million T by 2027,positive
"U.S. economy adds 225,000 jobs in January; 2019 annual figure revised downward",positive
Gas explosion in apartment building in Slovakia has killed at least 5 people Friday.,neutral
How Does Investing In Ellomay Capital Ltd. (NYSEMKT:ELLO) Impact The Volatility Of Your Portfolio?,neutral
Yum Brands' stock tumbles as coronavirus and Pizza Hut's weak sales expected to hit 2020 results,negative
Newsom rejects PG&E bankruptcy plan,neutral
Our Take On The Brink's Company's (NYSE:BCO) CEO Salary,neutral
"U.S. Stocks Edge Higher, Trying to Extend Winning Streak #SP500 #index #MarketScreener",positive
Item 9 Labs reports Q4 results,neutral
Panasonic and KOSÉ Set to Commence Verification Test for Personalized Proposals Utilizing Snow Beauty Mirror…,neutral
John Major gives his backing to Tory rebel candidates,neutral
$KL: Kirkland Lake Gold to acquire Detour Gold in C$4.9 bln deal,neutral
"United Bankshares to buy Carolina Financial for a 16% premium, in a deal valued at $1.1 billion",neutral
Credit Suisse CEO Tidjane Thiam Resigns,neutral
"Fed, FDIC approve BB&T, SunTrust merger",neutral
"From Starbucks to Seattle, companies and cities alike are banning plastic straws. Are takeout containers next?…",neutral
$BMY $XLRN - No Ad Com review for Bristol-Myers' luspatercept for MDS,neutral
We have a number of scholars here presenting new research at our “Workshop on Expectations Surveys.” This emerging…,neutral
Indonesia’s Reserves Jump to Near Record on Bond Sales,neutral
Newgioco reports Q3 results,neutral
We're A Little Worried About Graphite One's (CVE:GPH) Cash Burn Rate,neutral
Is Chuy’s Holdings Inc (CHUY) A Good Stock To Buy ?,neutral
Stock Market Update: S&P 500 Perks Up,positive
"ArcelorMittal Surges as Steel Outlook Brightens, Debt Drops",positive
Here are some of the business tax credits Congress could approve by year’s end,neutral
Novartis completes certification of initial sites in Ontario for Kymriah,neutral
"Monetary Policy Statement - March 24, 2020 (24.03.2020) #Stock #MarketScreener",neutral
"LOOK: Anti-government protesters burn tires to block roads in Basra, as demonstrations against poor services and sh…",neutral
Hedge Funds Are Selling AMERCO (UHAL),negative
World Bank could deploy $150 billion over 15 months in coronavirus battle - Malpass #economy #MarketScreener…,neutral
$WTRH back over $1,positive
Memebox Rebrands to MBX and Names New Executive Team,neutral
At the open (11/25/2019),neutral
Hedge Funds Have Never Been Less Bullish On MDC Partners (NASDAQ:MDCA),negative
"Price of Gold Fundamental Weekly Forecast – Underpinned by Weaker Dollar, Cautious Response to Trade Deal",neutral
Europe’s wealthiest man —LVMH chief Bernard Arnault — is spending more than $1 billion on a Paris department store…,neutral
"How Much Of ACS, Actividades de Construcción y Servicios, S.A. (BME:ACS) Do Insiders Own?",neutral
$ITRN - Ituran Location declares $0.24 dividend,neutral
BJ's Wholesale Q3 total revenue $3.32 bln vs. $3.22 bln a year ago; FactSet consensus $3.30 bln,positive
BJ's Wholesale narrows 2019 EPS outlook to $1.42-$1.50 from $1.44-$1.48,negative
$AMZN (+0.4% pre) Amazon files lawsuit contesting Pentagon's $10 billion cloud contract to Microsoft $MSFT - Reuter…,negative
New lawsuit seeks to pin blame for 737 MAX on Boeing's board,negative
Orchard's OTL-200 nabs accelerated review in Europe for rare nerve cell disorder,neutral
Stocks That Hit 52-Week Highs On Tuesday,neutral
McEwen Mining prices public offering at $1.325/unit,neutral
Hedge Funds Have Never Been This Bullish On Trecora Resources (TREC),positive
Turkey's recent maritime pact with Libya adds a snarl to eastern Mediterranean plans for gas exports,neutral
"All Smoker Black Friday 2019 Deals: List of Masterbuilt, Weber, Pit Boss & Cuisinart Smoker & Combo Grill Deals Rel…",neutral
"At the end of October, housing inventory nationwide fell to a 3.9 month supply, according to NAR. A healthy market,…",positive
STURGEON: BREXITEERS `MESSED IT UP',neutral
Blackstone CEO Steve Schwarzman says the virus could wipe $5 trillion from GDP,negative
"Merriam-Webster announced ""they"" as its Word of the Year. Searches for the term increased by 313% in 2019",neutral
Hong Kong Banks Give Extra Days Leave to Staff Amid Virus Outbreak,neutral
The U.S. Treasury Department sets the stage for 20-year bond reboot to start in May,neutral
Profile & Software A E : Announcement 9631/2019 (no English translation available) #Stock #MarketScreener…,neutral
"$LNN: Lindsay Corp beats by $0.04, reports revs in-line",positive
Is This the Hottest Sector for 2020?,neutral
Coca-Cola marrying one hit and one miss to create new flavor for Coke,neutral
AEO Inc. Reaffirms Commitment to Sustainability,neutral
Dubai's Jobs Vanish at the Fastest Pace in a DecadeÃ‚Â,negative
A database aggregating 1.2 billion users’ personal information was discovered unprotected on a server alleged to be…,neutral
"Google launched its cloud gaming service Stadia this week, but is it any good?",neutral
AECOM recognized with national award for U.S. Federal small business program excellence,positive
"Mutual Fund Misfires of the Market - February 07, 2020",neutral
$KHC (+4.2% pre) Kraft Heinz stock rises on expected first-quarter sales gain - MW,positive
$PSTV could squeeze over 2.25,positive
"Hong Kong Airlines to cut 400 jobs, operations as coronavirus hits travel",negative
"$NAT - Nordic American Tankers EPS misses by $0.04, misses on revenue",negative
Unisys's stock soars after $1.2 billion sale of U.S. Federal business,positive
Innodisk Group Strengthens AIoT Vision with Sysinno Acquisition,neutral
Highlight: Democrats and the White House reach a USMCA deal. “It’s one of those rare circumstances… where you have…,neutral
$LLNW: Limelight Networks issues in-line 2020 guidance,positive
Revance files U.S. application for frown line treatment; shares up 3% premarket,positive
"President Xi Jinping calls China’s sprawling belt and road initiative the ""project of the century,"" but many challe…",neutral
"Euro Slumps to 4-Month Low Amid Weaker Data, Virus Fallout Fears",negative
China won't resort to massive infrastructure stimulus as investment slows,negative
How conservation investment could be a lifeline for endangered species,neutral
Sappi : joins Cepi in the 4evergreen alliance to boost the contribution of fibre-based pac... #Sappi #Stock…,neutral
"Introducing Lannett Company (NYSE:LCI), The Stock That Tanked 80%",negative
Federal Reserve lowers community bank leverage ratio,neutral
Nike Warns Coronavirus Is Presuring Sales in China,negative
LIVE NOW: Press conference with #FOMC Chair Powell: and,neutral
Tokyo's Haneda airport is the fifth-busiest airport in the world. But it delivered more than 85% of its flights on…,neutral
Stock Market Update: NAHB Housing Market Index ticks down in November,negative
"Who's watching our behavior, and what are they doing with this information? @edmundlee and @robotodd explain.…",neutral
Denbury Resources Inc. (DNR): Are Hedge Funds Right About This Stock?,neutral
"Did Hedge Funds Dropped The Ball On Cohu, Inc. (COHU)",neutral
$GS - Goldman teams with startup to explore quantum computing - WSJ,neutral
"Nasdaq closes about 21 points, 0.2%, higher",positive
Invora™ Herbicide Receives EPA Federal Approval,positive
$UFS - Why Buying Domtar Isn't Such A Mad Idea. Continue reading: #economy #trading #investing,positive
"TUNE IN: Tesla's bull run is just getting started, says Ark's Cathie Wood. Watch #WallStreetWeek live today at 6pm...",positive
"From the new quarterly forecast: The estimate of long-term unemployment continues to inch lower, now being cut to 4…",positive
"$PCYG - Park City Group EPS misses by $0.01, misses on revenue",negative
$OPXS - Optex Systems Holdings reports Q1 results,neutral
"3D Printer Black Friday 2019 Deals: List of Comgrow, ELEGOO & FlashForge 3D Printer Deals by Deal Stripe",neutral
Raid on Egypt’s last independent news website causes chill,neutral
"The shoe fits, but can $FL stay that way",neutral
$SMLP - 5 Reasons To Sell Summit Midstream Partners. Read more and get updates on any stock!…,negative
Hear it: Elon Musk drops surprise song dubbed 'Don't Doubt ur Vibe',neutral
8 Sources of Income Social Security's Payroll Tax Can't Touch,neutral
U.S. oil futures mark lowest finish so far this month,negative
"'Hope' Vs 'Nope' - Dow Soars 1000 Points As Gold Spikes Near $1,700",positive
$TRLFF - True Leaf lands license for medical cannabis production,neutral
$CRK - Comstock Resources: Financial Position Stretched Regardless Of Possible Acquisition. Subscribe to Seeking Al…,neutral
What Kind Of Shareholders Own PEDEVCO Corp. (NYSEMKT:PED)?,neutral
$ENB $ENB $CVE - Enbridge says Mainline plan opponents stalling for time,neutral
"Highlight: @tom_belger on London banning Uber: ""Uber's vowing already to appeal this decision to cut it out of one…",neutral
Cofinimmo : BlackRock - Transparency notification #Cofinimmo #Stock #MarketScreener,neutral
Crypto backed by crypto: Dai seeks to change 'stablecoin' game,neutral
Billionaire Nelson Peltz's Trian Partners saw its portfolio of investments decline by more than 16% in March,negative
"CEVA, Inc. (CEVA): Are Hedge Funds Right About This Stock?",neutral
"US indices are having the best year since 2013, but large cap active funds are poised to see the worst year since 2016: BofA",neutral
Wincanton : Form 8.5 (EPT/RI) - Eddie Stobart Logistics plc #Wincanton #Stock #MarketScreener…,neutral
$SPY $AMTD $SCHW $TIF $MDCO $NVS $EBAY,neutral
$CTSO: CytoSorbents says temporarily pausing enrollment of REFRESH 2-AKI study at the recommendation of its Data...,negative
Republican and Democratic senators urge Jerome Powell to defend the independence of the Fed,neutral
Specialized ETFs may end up owning half of some companies' total shares one day soon. Here's a test case for what t...,neutral
"RECAP 11/22 Unusual Puts:
$WMT Jan 120 P
$BTU Feb 9 P
$UBER Dec 28 P
$GPS Mar 14 P
$SPCE Dec 7.5 P
$OLLI Dec 65 P…",negative
"Here's to the million-dollar car that should have cost $5,000 the underloved Porsche 914 is the next big thing",neutral
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,positive
"STOCKS AT THE CLOSE:
-Dow up 0.60%
-Nasdaq up 1.13 %
-S&P up 0.73%",positive
Cybersecurity experts launch Crosspoint Capital Partners,neutral
$1 gasoline is back -- and it's a terrible sign for the economy,negative
Euro flat at $1.1003,neutral
"Argia Sbordone shared findings from ""Anchoring of Inflation Expectations"" at today’s joint New York Fed-European Ce…",neutral
Fed’s Jerome Powell steered divided committee toward policy shift in effort to bolster economy,neutral
LIVE: Fed Chair Jerome Powell speaks on today's decision to hold rates ▶️,neutral
"Hain Celestial EPS beats by $0.01, misses on revenue",neutral
Europe Braces for Trump's Tariff Carousel,neutral
Can-Fite +17% premarket on new patents for sexual dysfunction drug,positive
Is Glaukos Corporation (GKOS) Going to Burn These Hedge Funds?,neutral
Japan Tobacco reports FY results,neutral
Sugar's Short-Term Support Is Eroding. #markets #stocks #trading,negative
$MJARF - MJardin Group reports Q3 results,neutral
$FLS (+3.1% pre) Flowserve (FLS) Withdraws 2020 Full Year Guidance - SI,positive
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth,negative
$WDAY - Workday reveals Products exec shuffle,neutral
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,positive
"$GHSI - Guardion Health Sciences Has Enough Cash For Now, But Be Wary Of Further Dilution. Get more info on Seeking…",neutral
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,negative
Impinj COO stepping down,neutral
New York joins states suing e-cigarette maker Juul,negative
Here's Why We're Not At All Concerned With Akcea Therapeutics's (NASDAQ:AKCA) Cash Burn Situation,neutral
Is Alnylam Stock a Good Buy Now?,neutral
Pretium Resources Q4 2019 Earnings Preview,neutral
Amazon Teams Up With China Upstart for Black Friday Sale,neutral
Gang Up on Pete Buttigieg? Maybe Not,neutral
Some Japanese companies are enforcing a no glasses rule for women employees. Why? Read more on @business…,neutral
Aurora sets early conversion price for convertible bonds at discount to Friday's,neutral
"NASDAQ : Quarterly Statistical Bulletin Vol 8, No 2, June 2019 - Contents and Narratives #NASDAQ #Stock…",neutral
Oracle Delays Decision to Replace Mark Hurd,neutral
Arconic Inc. Board of Directors Approves Separation of Company,neutral
Canada racks up 400-tonne cannabis pile after production binge,neutral
What is a Litecoin halving?,neutral
'Star Wars' director J.J. Abrams on how a 'Rise of Skywalker' script ended up on eBay,neutral
"Owens Corning Upgraded On Strong Insulation, Roofing Potential",positive
Trump's Bi-Lat Trade Strategy Failed With China Deal (Podcast),neutral
Aramco indicative share price up slightly to 37 riyals,positive
"Joe Biden's tax plan is refreshingly moderate, says @karlbykarlsmith, especially when compared with those of his ri…",neutral
Looking For Last-Minute Tax Loss Harvesting Ideas? Here’s One.,neutral
Bristol-Myers earnings rise due to Celgene deal,positive
Axonics prices stock offering at $22,neutral
$AQST (+13.1% pre) Aquestive Therapeutics (AQST) Confirms FDA Approval for Exservan Oral Film - SI,positive
$MMYT - MakeMyTrip Q3 2020 Earnings Preview,neutral
Vir Biotechnology reports Q3 results,neutral
Vans parent VF Corp. says China stores still open have seen 'significant' declines in retail traffic,negative
Hexo stock price target cut to C$5 from C$6 at MKM Partners,negative
